origin,destination,ridership
AG01: Sentul Timur,KG04: Kwasa Damansara,446
AG01: Sentul Timur,KG05: Kwasa Sentral,485
AG01: Sentul Timur,KG06: Kota Damansara,813
AG01: Sentul Timur,KG07: Surian,1885
AG01: Sentul Timur,KG08: Mutiara Damansara,1635
AG01: Sentul Timur,KG09: Bandar Utama,2392
AG01: Sentul Timur,KG10: TTDI,1958
AG01: Sentul Timur,KG12: Phileo Damansara,1868
AG01: Sentul Timur,KG13: Pusat Bandar Damansara,2833
AG01: Sentul Timur,KG14: Semantan,4405
AG01: Sentul Timur,KG15: Muzium Negara,2140
AG01: Sentul Timur,KG16: Pasar Seni,1728
AG01: Sentul Timur,KG17: Merdeka,2726
AG01: Sentul Timur,KG18: Bukit Bintang,4030
AG01: Sentul Timur,KG20: Tun Razak Exchange,13203
AG01: Sentul Timur,KG21: Cochrane,4280
AG01: Sentul Timur,KG22: Maluri,5387
AG01: Sentul Timur,KG23: Taman Pertama,394
AG01: Sentul Timur,KG24: Taman Midah,818
AG01: Sentul Timur,KG25: Taman Mutiara,1851
AG01: Sentul Timur,KG26: Taman Connaught,1041
AG01: Sentul Timur,KG27: Taman Suntex,787
AG01: Sentul Timur,KG28: Sri Raya,348
AG01: Sentul Timur,KG29: Bandar Tun Hussien Onn,363
AG01: Sentul Timur,KG30: Batu 11 Cheras,728
AG01: Sentul Timur,KG31: Bukit Dukung,574
AG01: Sentul Timur,KG33: Sungai Jernih,391
AG01: Sentul Timur,KG34: Stadium Kajang,874
AG01: Sentul Timur,KG35: Kajang,1511
AG01: Sentul Timur,KJ01: Gombak,336
AG01: Sentul Timur,KJ02: Taman Melati,340
AG01: Sentul Timur,KJ03: Wangsa Maju,1316
AG01: Sentul Timur,KJ04: Sri Rampai,730
AG01: Sentul Timur,KJ05: Setiawangsa,984
AG01: Sentul Timur,KJ06: Jelatek,687
AG01: Sentul Timur,KJ07: Dato' Keramat,377
AG01: Sentul Timur,KJ08: Damai,210
AG01: Sentul Timur,KJ09: Ampang Park,833
AG01: Sentul Timur,KJ10: KLCC,13562
AG01: Sentul Timur,KJ11: Kampung Baru,757
AG01: Sentul Timur,KJ12: Dang Wangi,977
AG01: Sentul Timur,KJ13: Masjid Jamek,32518
AG01: Sentul Timur,KJ14: Pasar Seni,4423
AG01: Sentul Timur,KJ15: KL Sentral,13775
AG01: Sentul Timur,KJ16: Bank Rakyat Bangsar,6279
AG01: Sentul Timur,KJ17: Abdullah Hukum,12129
AG01: Sentul Timur,KJ18: Kerinchi,5816
AG01: Sentul Timur,KJ19: Universiti,3421
AG01: Sentul Timur,KJ20: Taman Jaya,3024
AG01: Sentul Timur,KJ21: Asia Jaya,4321
AG01: Sentul Timur,KJ22: Taman Paramount,463
AG01: Sentul Timur,KJ23: Taman Bahagia,1312
AG01: Sentul Timur,KJ24: Kelana Jaya,903
AG01: Sentul Timur,KJ25: Lembah Subang,987
AG01: Sentul Timur,KJ26: Ara Damansara,1270
AG01: Sentul Timur,KJ27: Cgc Glenmarie,2036
AG01: Sentul Timur,KJ28: Subang Jaya,1697
AG01: Sentul Timur,KJ29: SS 15,689
AG01: Sentul Timur,KJ30: SS 18,171
AG01: Sentul Timur,KJ31: USJ 7,348
AG01: Sentul Timur,KJ32: Taipan,287
AG01: Sentul Timur,KJ33: Wawasan,113
AG01: Sentul Timur,KJ34: USJ 21,475
AG01: Sentul Timur,KJ35: Alam Megah,404
AG01: Sentul Timur,KJ36: Subang Alam,109
AG01: Sentul Timur,MR01: KL Sentral,2835
AG01: Sentul Timur,MR02: Tun Sambanthan,1632
AG01: Sentul Timur,MR03: Maharajalela,940
AG01: Sentul Timur,MR04: Hang Tuah,8066
AG01: Sentul Timur,MR05: Imbi,7053
AG01: Sentul Timur,MR06: Bukit Bintang,11518
AG01: Sentul Timur,MR07: Raja Chulan,19266
AG01: Sentul Timur,MR08: Bukit Nanas,3983
AG01: Sentul Timur,MR09: Medan Tuanku,8770
AG01: Sentul Timur,MR10: Chow Kit,5276
AG01: Sentul Timur,MR11: Titiwangsa,1535
AG01: Sentul Timur,PYL03: Kampung Selamat,1146
AG01: Sentul Timur,PYL04: Sungai Buloh,1126
AG01: Sentul Timur,SP12: Cheras,1668
AG01: Sentul Timur,SP13: Salak Selatan,2491
AG01: Sentul Timur,SP14: Bandar Tun Razak,1264
AG01: Sentul Timur,SP15: Bandar Tasik Selatan,9940
AG01: Sentul Timur,SP16: Sungai Besi,259
AG01: Sentul Timur,SP17: Bukit Jalil,4536
AG01: Sentul Timur,SP18: Sri Petaling,984
AG01: Sentul Timur,SP19: Awan Besar,1635
AG01: Sentul Timur,SP20: Muhibbah,834
AG01: Sentul Timur,SP21: Alam Sutera,953
AG01: Sentul Timur,SP22: Kinrara,1364
AG01: Sentul Timur,SP24: IOI Puchong Jaya,1925
AG01: Sentul Timur,SP25: Pusat Bandar Puchong,2216
AG01: Sentul Timur,SP26: Taman Perindustrian Puchong,862
AG01: Sentul Timur,SP27: Bandar Puteri,923
AG01: Sentul Timur,SP28: Puchong Perdana,982
AG01: Sentul Timur,SP29: Puchong Prima,989
AG01: Sentul Timur,SP31: Putra Heights,6052
AG02: Sentul,A0: All Stations,341648
AG02: Sentul,AG01: Sentul Timur,6275
AG02: Sentul,AG02: Sentul,6040
AG02: Sentul,AG03: Titiwangsa,13822
AG02: Sentul,AG04: PWTC,27929
AG02: Sentul,AG05: Sultan Ismail,8362
AG02: Sentul,AG06: Bandaraya,39691
AG02: Sentul,AG07: Masjid Jamek,9350
AG02: Sentul,AG08: Plaza Rakyat,6593
AG02: Sentul,AG09: Hang Tuah,3369
AG02: Sentul,AG10: Pudu,4551
AG02: Sentul,AG11: Chan Sow Lin,1529
AG02: Sentul,AG12: Miharja,753
AG02: Sentul,AG13: Maluri,2848
AG02: Sentul,AG14: Pandan Jaya,2326
AG02: Sentul,AG15: Pandan Indah,703
AG02: Sentul,AG16: Cempaka,1163
AG02: Sentul,AG17: Cahaya,780
AG02: Sentul,AG18: Ampang,4028
AG02: Sentul,KG04: Kwasa Damansara,183
AG02: Sentul,KG05: Kwasa Sentral,198
AG02: Sentul,KG06: Kota Damansara,477
AG02: Sentul,KG07: Surian,1118
AG02: Sentul,KG08: Mutiara Damansara,1228
AG02: Sentul,KG09: Bandar Utama,1771
AG02: Sentul,KG10: TTDI,1574
AG02: Sentul,KG12: Phileo Damansara,2359
AG02: Sentul,KG13: Pusat Bandar Damansara,2324
AG02: Sentul,KG14: Semantan,2199
AG02: Sentul,KG15: Muzium Negara,1174
AG02: Sentul,KG16: Pasar Seni,1191
AG02: Sentul,KG17: Merdeka,2527
AG02: Sentul,KG18: Bukit Bintang,2674
AG02: Sentul,KG20: Tun Razak Exchange,9350
AG02: Sentul,KG21: Cochrane,2697
AG02: Sentul,KG22: Maluri,3131
AG02: Sentul,KG23: Taman Pertama,537
AG02: Sentul,KG24: Taman Midah,665
AG02: Sentul,KG25: Taman Mutiara,1202
AG02: Sentul,KG26: Taman Connaught,722
AG02: Sentul,KG27: Taman Suntex,1002
AG02: Sentul,KG28: Sri Raya,185
AG02: Sentul,KG29: Bandar Tun Hussien Onn,581
AG02: Sentul,KG30: Batu 11 Cheras,384
AG02: Sentul,KG31: Bukit Dukung,587
AG02: Sentul,KG33: Sungai Jernih,290
AG02: Sentul,KG34: Stadium Kajang,674
AG02: Sentul,KG35: Kajang,1073
AG02: Sentul,KJ01: Gombak,258
AG02: Sentul,KJ02: Taman Melati,542
AG02: Sentul,KJ03: Wangsa Maju,1034
AG02: Sentul,KJ04: Sri Rampai,601
AG02: Sentul,KJ05: Setiawangsa,388
AG02: Sentul,KJ06: Jelatek,391
AG02: Sentul,KJ07: Dato' Keramat,159
AG02: Sentul,KJ08: Damai,387
AG02: Sentul,KJ09: Ampang Park,560
AG02: Sentul,KJ10: KLCC,8099
AG02: Sentul,KJ11: Kampung Baru,560
AG02: Sentul,KJ12: Dang Wangi,850
AG02: Sentul,KJ13: Masjid Jamek,21097
AG02: Sentul,KJ14: Pasar Seni,3275
AG02: Sentul,KJ15: KL Sentral,10404
AG02: Sentul,KJ16: Bank Rakyat Bangsar,5174
AG02: Sentul,KJ17: Abdullah Hukum,8435
AG02: Sentul,KJ18: Kerinchi,4297
AG02: Sentul,KJ19: Universiti,2405
AG02: Sentul,KJ20: Taman Jaya,1659
AG02: Sentul,KJ21: Asia Jaya,2413
AG02: Sentul,KJ22: Taman Paramount,580
AG02: Sentul,KJ23: Taman Bahagia,888
AG02: Sentul,KJ24: Kelana Jaya,464
AG02: Sentul,KJ25: Lembah Subang,708
AG02: Sentul,KJ26: Ara Damansara,1033
AG02: Sentul,KJ27: Cgc Glenmarie,1496
AG02: Sentul,KJ28: Subang Jaya,1443
AG02: Sentul,KJ29: SS 15,651
AG02: Sentul,KJ30: SS 18,117
AG02: Sentul,KJ31: USJ 7,388
AG02: Sentul,KJ32: Taipan,329
AG02: Sentul,KJ33: Wawasan,160
AG02: Sentul,KJ34: USJ 21,113
AG02: Sentul,KJ35: Alam Megah,290
AG02: Sentul,KJ36: Subang Alam,62
AG02: Sentul,MR01: KL Sentral,2256
AG02: Sentul,MR02: Tun Sambanthan,1007
AG02: Sentul,MR03: Maharajalela,536
AG02: Sentul,MR04: Hang Tuah,5405
AG02: Sentul,MR05: Imbi,4704
AG02: Sentul,MR06: Bukit Bintang,8536
AG02: Sentul,MR07: Raja Chulan,10679
AG02: Sentul,MR08: Bukit Nanas,3040
AG02: Sentul,MR09: Medan Tuanku,7648
AG02: Sentul,MR10: Chow Kit,4404
AG02: Sentul,MR11: Titiwangsa,853
AG02: Sentul,PYL03: Kampung Selamat,276
AG02: Sentul,PYL04: Sungai Buloh,1389
AG02: Sentul,SP12: Cheras,1029
AG02: Sentul,SP13: Salak Selatan,1534
AG02: Sentul,SP14: Bandar Tun Razak,1173
AG02: Sentul,SP15: Bandar Tasik Selatan,5699
AG02: Sentul,SP16: Sungai Besi,165
AG02: Sentul,SP17: Bukit Jalil,3708
AG02: Sentul,SP18: Sri Petaling,951
AG02: Sentul,SP19: Awan Besar,1663
AG02: Sentul,SP20: Muhibbah,591
AG02: Sentul,SP21: Alam Sutera,1050
AG02: Sentul,SP22: Kinrara,1455
AG02: Sentul,SP24: IOI Puchong Jaya,1220
AG02: Sentul,SP25: Pusat Bandar Puchong,893
AG02: Sentul,SP26: Taman Perindustrian Puchong,875
AG02: Sentul,SP27: Bandar Puteri,408
AG02: Sentul,SP28: Puchong Perdana,717
AG02: Sentul,SP29: Puchong Prima,639
AG02: Sentul,SP31: Putra Heights,1246
AG03: Titiwangsa,A0: All Stations,408504
AG03: Titiwangsa,AG01: Sentul Timur,19375
AG03: Titiwangsa,AG02: Sentul,14182
AG03: Titiwangsa,AG03: Titiwangsa,7050
AG03: Titiwangsa,AG04: PWTC,34089
AG03: Titiwangsa,AG05: Sultan Ismail,5925
AG03: Titiwangsa,AG06: Bandaraya,24822
AG03: Titiwangsa,AG07: Masjid Jamek,10319
AG03: Titiwangsa,AG08: Plaza Rakyat,8159
AG03: Titiwangsa,AG09: Hang Tuah,5859
AG03: Titiwangsa,AG10: Pudu,12894
AG03: Titiwangsa,AG11: Chan Sow Lin,1264
AG03: Titiwangsa,AG12: Miharja,1973
AG03: Titiwangsa,AG13: Maluri,4825
AG03: Titiwangsa,AG14: Pandan Jaya,4878
AG03: Titiwangsa,AG15: Pandan Indah,2777
AG03: Titiwangsa,AG16: Cempaka,4448
AG03: Titiwangsa,AG17: Cahaya,4227
AG03: Titiwangsa,AG18: Ampang,6276
AG03: Titiwangsa,KG04: Kwasa Damansara,1308
AG03: Titiwangsa,KG05: Kwasa Sentral,1535
AG03: Titiwangsa,KG06: Kota Damansara,1096
AG03: Titiwangsa,KG07: Surian,1666
AG03: Titiwangsa,KG08: Mutiara Damansara,1179
AG03: Titiwangsa,KG09: Bandar Utama,1545
AG03: Titiwangsa,KG10: TTDI,1096
AG03: Titiwangsa,KG12: Phileo Damansara,1177
AG03: Titiwangsa,KG13: Pusat Bandar Damansara,2752
AG03: Titiwangsa,KG14: Semantan,3347
AG03: Titiwangsa,KG15: Muzium Negara,626
AG03: Titiwangsa,KG16: Pasar Seni,1918
AG03: Titiwangsa,KG17: Merdeka,4011
AG03: Titiwangsa,KG18: Bukit Bintang,1139
AG03: Titiwangsa,KG20: Tun Razak Exchange,10328
AG03: Titiwangsa,KG21: Cochrane,4120
AG03: Titiwangsa,KG22: Maluri,5118
AG03: Titiwangsa,KG23: Taman Pertama,817
AG03: Titiwangsa,KG24: Taman Midah,1314
AG03: Titiwangsa,KG25: Taman Mutiara,1609
AG03: Titiwangsa,KG26: Taman Connaught,1915
AG03: Titiwangsa,KG27: Taman Suntex,1571
AG03: Titiwangsa,KG28: Sri Raya,851
AG03: Titiwangsa,KG29: Bandar Tun Hussien Onn,1585
AG03: Titiwangsa,KG30: Batu 11 Cheras,1065
AG03: Titiwangsa,KG31: Bukit Dukung,1178
AG03: Titiwangsa,KG33: Sungai Jernih,1437
AG03: Titiwangsa,KG34: Stadium Kajang,1753
AG03: Titiwangsa,KG35: Kajang,4206
AG03: Titiwangsa,KJ01: Gombak,375
AG03: Titiwangsa,KJ02: Taman Melati,284
AG03: Titiwangsa,KJ03: Wangsa Maju,1177
AG03: Titiwangsa,KJ04: Sri Rampai,766
AG03: Titiwangsa,KJ05: Setiawangsa,500
AG03: Titiwangsa,KJ06: Jelatek,410
AG03: Titiwangsa,KJ07: Dato' Keramat,263
AG03: Titiwangsa,KJ08: Damai,318
AG03: Titiwangsa,KJ09: Ampang Park,168
AG03: Titiwangsa,KJ10: KLCC,3877
AG03: Titiwangsa,KJ11: Kampung Baru,654
AG03: Titiwangsa,KJ12: Dang Wangi,255
AG03: Titiwangsa,KJ13: Masjid Jamek,29138
AG03: Titiwangsa,KJ14: Pasar Seni,3603
AG03: Titiwangsa,KJ15: KL Sentral,8048
AG03: Titiwangsa,KJ16: Bank Rakyat Bangsar,4403
AG03: Titiwangsa,KJ17: Abdullah Hukum,5939
AG03: Titiwangsa,KJ18: Kerinchi,2562
AG03: Titiwangsa,KJ19: Universiti,2629
AG03: Titiwangsa,KJ20: Taman Jaya,1326
AG03: Titiwangsa,KJ21: Asia Jaya,1956
AG03: Titiwangsa,KJ22: Taman Paramount,1099
AG03: Titiwangsa,KJ23: Taman Bahagia,1054
AG03: Titiwangsa,KJ24: Kelana Jaya,835
AG03: Titiwangsa,KJ25: Lembah Subang,635
AG03: Titiwangsa,KJ26: Ara Damansara,829
AG03: Titiwangsa,KJ27: Cgc Glenmarie,1571
AG03: Titiwangsa,KJ28: Subang Jaya,2138
AG03: Titiwangsa,KJ29: SS 15,889
AG03: Titiwangsa,KJ30: SS 18,305
AG03: Titiwangsa,KJ31: USJ 7,781
AG03: Titiwangsa,KJ32: Taipan,707
AG03: Titiwangsa,KJ33: Wawasan,323
AG03: Titiwangsa,KJ34: USJ 21,276
AG03: Titiwangsa,KJ35: Alam Megah,626
AG03: Titiwangsa,KJ36: Subang Alam,262
AG03: Titiwangsa,MR01: KL Sentral,4576
AG03: Titiwangsa,MR02: Tun Sambanthan,375
AG03: Titiwangsa,MR03: Maharajalela,534
AG03: Titiwangsa,MR04: Hang Tuah,4244
AG03: Titiwangsa,MR05: Imbi,3397
AG03: Titiwangsa,MR06: Bukit Bintang,9112
AG03: Titiwangsa,MR07: Raja Chulan,1816
AG03: Titiwangsa,MR08: Bukit Nanas,1882
AG03: Titiwangsa,MR09: Medan Tuanku,2945
AG03: Titiwangsa,MR10: Chow Kit,2766
AG03: Titiwangsa,MR11: Titiwangsa,479
AG03: Titiwangsa,PYL03: Kampung Selamat,1011
AG03: Titiwangsa,PYL04: Sungai Buloh,6174
AG03: Titiwangsa,SP12: Cheras,3140
AG03: Titiwangsa,SP13: Salak Selatan,5249
AG03: Titiwangsa,SP14: Bandar Tun Razak,2733
AG03: Titiwangsa,SP15: Bandar Tasik Selatan,14094
AG03: Titiwangsa,SP16: Sungai Besi,322
AG03: Titiwangsa,SP17: Bukit Jalil,4164
AG03: Titiwangsa,SP18: Sri Petaling,1056
AG03: Titiwangsa,SP19: Awan Besar,2976
AG03: Titiwangsa,SP20: Muhibbah,2134
AG03: Titiwangsa,SP21: Alam Sutera,1762
AG03: Titiwangsa,SP22: Kinrara,2398
AG03: Titiwangsa,SP24: IOI Puchong Jaya,1878
AG03: Titiwangsa,SP25: Pusat Bandar Puchong,1942
AG03: Titiwangsa,SP26: Taman Perindustrian Puchong,1191
AG03: Titiwangsa,SP27: Bandar Puteri,842
AG03: Titiwangsa,SP28: Puchong Perdana,1421
AG03: Titiwangsa,SP29: Puchong Prima,1973
AG03: Titiwangsa,SP31: Putra Heights,2333
AG04: PWTC,A0: All Stations,646120
AG04: PWTC,AG01: Sentul Timur,58774
AG04: PWTC,AG02: Sentul,31472
AG04: PWTC,AG03: Titiwangsa,34660
AG04: PWTC,AG04: PWTC,10684
AG04: PWTC,AG05: Sultan Ismail,28686
AG04: PWTC,AG06: Bandaraya,57997
AG04: PWTC,AG07: Masjid Jamek,21436
AG04: PWTC,AG08: Plaza Rakyat,10682
AG04: PWTC,AG09: Hang Tuah,9515
AG04: PWTC,AG10: Pudu,12163
AG04: PWTC,AG11: Chan Sow Lin,3792
AG04: PWTC,AG12: Miharja,3342
AG04: PWTC,AG13: Maluri,10444
AG04: PWTC,AG14: Pandan Jaya,6566
AG04: PWTC,AG15: Pandan Indah,5326
AG04: PWTC,AG16: Cempaka,7016
AG04: PWTC,AG17: Cahaya,4875
AG04: PWTC,AG18: Ampang,9300
AG04: PWTC,KG04: Kwasa Damansara,685
AG04: PWTC,KG05: Kwasa Sentral,1101
AG04: PWTC,KG06: Kota Damansara,951
AG04: PWTC,KG07: Surian,1434
AG04: PWTC,KG08: Mutiara Damansara,2312
AG04: PWTC,KG09: Bandar Utama,2393
AG04: PWTC,KG10: TTDI,1222
AG04: PWTC,KG12: Phileo Damansara,1556
AG04: PWTC,KG13: Pusat Bandar Damansara,2274
AG04: PWTC,KG14: Semantan,1960
AG04: PWTC,KG15: Muzium Negara,1132
AG04: PWTC,KG16: Pasar Seni,2399
AG04: PWTC,KG17: Merdeka,2103
AG04: PWTC,KG18: Bukit Bintang,6643
AG04: PWTC,KG20: Tun Razak Exchange,9448
AG04: PWTC,KG21: Cochrane,3884
AG04: PWTC,KG22: Maluri,5554
AG04: PWTC,KG23: Taman Pertama,751
AG04: PWTC,KG24: Taman Midah,813
AG04: PWTC,KG25: Taman Mutiara,2907
AG04: PWTC,KG26: Taman Connaught,1610
AG04: PWTC,KG27: Taman Suntex,1451
AG04: PWTC,KG28: Sri Raya,860
AG04: PWTC,KG29: Bandar Tun Hussien Onn,1408
AG04: PWTC,KG30: Batu 11 Cheras,1293
AG04: PWTC,KG31: Bukit Dukung,1053
AG04: PWTC,KG33: Sungai Jernih,1363
AG04: PWTC,KG34: Stadium Kajang,1618
AG04: PWTC,KG35: Kajang,3489
AG04: PWTC,KJ01: Gombak,2029
AG04: PWTC,KJ02: Taman Melati,2825
AG04: PWTC,KJ03: Wangsa Maju,3250
AG04: PWTC,KJ04: Sri Rampai,2514
AG04: PWTC,KJ05: Setiawangsa,1905
AG04: PWTC,KJ06: Jelatek,1561
AG04: PWTC,KJ07: Dato' Keramat,715
AG04: PWTC,KJ08: Damai,947
AG04: PWTC,KJ09: Ampang Park,1629
AG04: PWTC,KJ10: KLCC,16966
AG04: PWTC,KJ11: Kampung Baru,2769
AG04: PWTC,KJ12: Dang Wangi,1394
AG04: PWTC,KJ13: Masjid Jamek,39241
AG04: PWTC,KJ14: Pasar Seni,7475
AG04: PWTC,KJ15: KL Sentral,16700
AG04: PWTC,KJ16: Bank Rakyat Bangsar,4506
AG04: PWTC,KJ17: Abdullah Hukum,8485
AG04: PWTC,KJ18: Kerinchi,2662
AG04: PWTC,KJ19: Universiti,2673
AG04: PWTC,KJ20: Taman Jaya,2111
AG04: PWTC,KJ21: Asia Jaya,3692
AG04: PWTC,KJ22: Taman Paramount,794
AG04: PWTC,KJ23: Taman Bahagia,881
AG04: PWTC,KJ24: Kelana Jaya,1117
AG04: PWTC,KJ25: Lembah Subang,703
AG04: PWTC,KJ26: Ara Damansara,883
AG04: PWTC,KJ27: Cgc Glenmarie,2041
AG04: PWTC,KJ28: Subang Jaya,1769
AG04: PWTC,KJ29: SS 15,1515
AG04: PWTC,KJ30: SS 18,186
AG04: PWTC,KJ31: USJ 7,840
AG04: PWTC,KJ32: Taipan,735
AG04: PWTC,KJ33: Wawasan,390
AG04: PWTC,KJ34: USJ 21,403
AG04: PWTC,KJ35: Alam Megah,881
AG04: PWTC,KJ36: Subang Alam,233
AG04: PWTC,MR01: KL Sentral,2139
AG04: PWTC,MR02: Tun Sambanthan,586
AG04: PWTC,MR03: Maharajalela,646
AG04: PWTC,MR04: Hang Tuah,10632
AG04: PWTC,MR05: Imbi,5107
AG04: PWTC,MR06: Bukit Bintang,11377
AG04: PWTC,MR07: Raja Chulan,4453
AG04: PWTC,MR08: Bukit Nanas,1199
AG04: PWTC,MR09: Medan Tuanku,4528
AG04: PWTC,MR10: Chow Kit,2326
AG04: PWTC,MR11: Titiwangsa,3635
AG04: PWTC,PYL03: Kampung Selamat,664
AG04: PWTC,PYL04: Sungai Buloh,3169
AG04: PWTC,SP12: Cheras,5730
AG04: PWTC,SP13: Salak Selatan,9566
AG04: PWTC,SP14: Bandar Tun Razak,5138
